,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
361,teguldet,57.31,88.17,56.75,97,100,3.8,RU,1596058762
362,naryan-mar,67.67,53.09,45.37,91,60,8.08,RU,1596059144
363,rovaniemi,66.5,25.72,60.8,63,100,11.41,FI,1596059047
364,yulara,-25.24,130.99,44.6,42,0,9.17,AU,1596058792
365,kindu,-2.95,25.95,73.11,39,0,0.38,CD,1596059144
366,kieta,-6.22,155.63,82.54,69,81,1.52,PG,1596058829
367,gweru,-19.45,29.82,50.67,61,0,5.95,ZW,1596059145
368,te anau,-45.42,167.72,49.39,84,100,4.0,NZ,1596058789
369,agbor,6.25,6.19,71.49,94,96,3.85,NG,1596059145
370,lasa,46.62,10.7,64.4,88,20,2.24,IT,1596059145
371,karpogory,64.0,44.45,57.04,89,29,4.59,RU,1596059145
372,piacabucu,-10.41,-36.43,74.32,77,29,11.61,BR,1596059146
373,kemijarvi,66.71,27.43,56.95,75,100,8.97,FI,1596059146
374,manati,18.43,-66.49,82.4,78,75,14.99,PR,1596059146
375,graulhet,43.77,1.99,78.8,61,12,4.7,FR,1596059146
376,sao joao da barra,-21.64,-41.05,75.2,78,40,13.87,BR,1596059147
377,carutapera,-1.2,-46.02,76.95,86,0,4.27,BR,1596059147
378,moron,-34.65,-58.62,52.0,51,0,1.01,AR,1596059147
379,shimoda,34.67,138.95,64.99,96,100,1.01,JP,1596059147
380,mahebourg,-20.41,57.7,71.6,83,40,10.29,MU,1596058779
381,boa vista,2.82,-60.67,91.4,43,20,8.05,BR,1596059148
382,marsa matruh,31.35,27.25,77.0,78,0,2.93,EG,1596058823
